ORDERNUMBER,QUANTITYORDERED,PRICEEACH,CALCULATED_PRICE,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10165,27,31.82,859.14,13,992.3067000000001,2003-10-22,Shipped,4,10,2003,Classic Cars,35,S24_2840,"DRAGON SOUVENIERS, LTD.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric,Small
10312,23,37.63,865.49,12,999.6409500000001,2004-10-21,Shipped,4,10,2004,Vintage Cars,44,S24_2022,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10131,21,41.71,875.91,7,1011.6760500000001,2003-06-16,Shipped,2,6,2003,Planes,49,S72_1253,GIFT IDEAS CORP.,2035554407,2440 Pompton St.,Glendale,CT,97561,USA,Lewis,Dan,Small
10423,10,88.14,881.4,1,1018.0170000000002,2005-05-30,In Process,2,5,2005,Vintage Cars,101,S18_2949,PETIT AUTO,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,Dewey,Catherine,Small
10141,21,42.43,891.03,6,1029.13965,2003-08-01,Shipped,3,8,2003,Classic Cars,35,S24_2840,SUOMINEN SOUVENIERS,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,,FIN-02271,Finland,Suominen,Kalle,Small
10239,20,44.56,891.2,2,1029.3360000000002,2004-04-12,Shipped,2,4,2004,Classic Cars,37,S24_2972,"OULU TOY SUPPLIES, INC.",981-443655,Torikatu 38,Oulu,,90110,Finland,Koskitalo,Pirkko,Small
10193,22,41.03,902.6600000000001,12,1042.5723,2003-11-21,Shipped,4,11,2003,Vintage Cars,41,S24_3969,"AUSTRALIAN COLLECTABLES, LTD",61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,Connery,Sean,Small
10195,32,28.29,905.28,7,1045.5984,2003-11-25,Shipped,4,11,2003,Classic Cars,35,S24_2840,MINI CLASSICS,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,Frick,Steve,Small
10205,24,38.08,913.92,4,1055.5776,2003-12-03,Shipped,4,12,2003,Vintage Cars,44,S24_2022,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10192,30,30.59,917.7,13,1059.9435,2003-11-20,Shipped,4,11,2003,Classic Cars,37,S24_2972,ONLINE DIECAST CREATIONS CO.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie,Small
10412,19,48.7,925.3000000000001,7,1068.7215,2005-05-03,Shipped,2,5,2005,Trucks and Buses,54,S32_2509,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10109,29,32.1,930.9000000000001,6,1075.1895000000002,2003-03-10,Shipped,1,3,2003,Classic Cars,37,S24_2972,MOTOR MINT DISTRIBUTORS INC.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,Hernandez,Rosa,Small
10425,19,49.22,935.18,10,1080.1329,2005-05-31,In Process,2,5,2005,Trucks and Buses,60,S18_2432,LA ROCHELLE GIFTS,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine,Small
10296,21,45.19,948.99,10,1096.08345,2004-09-15,Shipped,3,9,2004,Planes,49,S72_1253,"BAVARIAN COLLECTABLES IMPORTS, CO.",+49 89 61 08 9555,Hansastr. 15,Munich,,80686,Germany,Donnermeyer,Michael,Small
10303,24,40.21,965.04,1,1114.6212,2004-10-06,Shipped,4,10,2004,Vintage Cars,41,S24_3969,"IBERIA GIFT IMPORTS, CORP.",(95) 555 82 82,"C/ Romero, 33",Sevilla,,41101,Spain,Roel,Jose Pedro,Small
10182,23,42.26,971.9799999999999,8,1122.6369000000002,2003-11-12,Shipped,4,11,2003,Vintage Cars,41,S24_3969,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10185,20,48.62,972.4,15,1123.122,2003-11-14,Shipped,4,11,2003,Trains,58,S50_1514,MINI CREATIONS LTD.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Tam,Wing C,Small
10331,30,32.47,974.0999999999999,8,1125.0855000000001,2004-11-17,Shipped,4,11,2004,Classic Cars,142,S18_1984,MOTOR MINT DISTRIBUTORS INC.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,Hernandez,Rosa,Small
10243,33,29.54,974.8199999999999,1,1125.9171000000003,2004-04-26,Shipped,2,4,2004,Vintage Cars,33,S24_1937,DIECAST COLLECTABLES,6175552555,6251 Ingle Ln.,Boston,MA,51003,USA,Franco,Valarie,Small
10173,31,31.53,977.4300000000001,9,1128.9316500000002,2003-11-05,Shipped,4,11,2003,Vintage Cars,33,S24_1937,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10343,27,36.21,977.6700000000001,6,1129.20885,2004-11-24,Shipped,4,11,2004,Classic Cars,50,S24_1628,REIMS COLLECTABLES,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,Henriot,Paul,Small
10285,20,49.06,981.2,10,1133.286,2004-08-27,Shipped,3,8,2004,Motorcycles,60,S18_2625,MARTA'S REPLICAS CO.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta,Small
10276,27,36.61,988.47,10,1141.6828500000001,2004-08-02,Shipped,3,8,2004,Motorcycles,40,S32_2206,ONLINE MINI COLLECTABLES,6175557555,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA,Barajas,Miguel,Small
10380,21,47.18,990.78,8,1144.3509000000001,2005-02-16,Shipped,1,2,2005,Vintage Cars,168,S18_2795,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10124,22,45.25,995.5,1,1149.8025000000002,2003-05-21,Shipped,2,5,2003,Vintage Cars,44,S24_2022,SIGNAL GIFT STORES,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,King,Sue,Small
10162,37,27.22,1007.14,5,1163.2467000000001,2003-10-18,Shipped,4,10,2003,Vintage Cars,33,S24_1937,CORPORATE GIFT IDEAS CO.,6505551386,7734 Strong St.,San Francisco,CA,,USA,Brown,Julie,Small
10193,20,50.62,1012.4,9,1169.3220000000001,2003-11-21,Shipped,4,11,2003,Vintage Cars,44,S24_2022,"AUSTRALIAN COLLECTABLES, LTD",61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,Connery,Sean,Small
10149,26,38.98,1013.4799999999999,9,1170.5694,2003-09-12,Shipped,3,9,2003,Vintage Cars,41,S24_3969,SIGNAL COLLECTIBLES LTD.,4155554312,2793 Furth Circle,Brisbane,CA,94217,USA,Taylor,Sue,Small
10299,24,42.24,1013.76,4,1170.8928000000003,2004-09-30,Shipped,3,9,2004,Motorcycles,40,S32_2206,"TOYS OF FINLAND, CO.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,Karttunen,Matti,Small
10425,31,33.24,1030.44,5,1190.1582000000003,2005-05-31,In Process,2,5,2005,Classic Cars,35,S24_2840,LA ROCHELLE GIFTS,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine,Small
10259,31,33.24,1030.44,5,1190.1582000000003,2004-06-15,Shipped,2,6,2004,Classic Cars,35,S24_2840,HANDJI GIFTS& CO,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,Victorino,Wendy,Small
10117,21,49.21,1033.41,11,1193.5885500000002,2003-04-16,Shipped,2,4,2003,Trains,58,S50_1514,"DRAGON SOUVENIERS, LTD.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric,Small
10169,26,39.83,1035.58,9,1196.0949,2003-11-04,Shipped,4,11,2003,Motorcycles,40,S32_2206,"ANNA'S DECORATIONS, LTD",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Small
10237,26,40.23,1045.98,2,1208.1069,2004-04-05,Shipped,2,4,2004,Motorcycles,40,S32_2206,VITACHROME INC.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,Frick,Michael,Small
10220,20,52.82,1056.4,6,1220.1420000000003,2004-02-12,Shipped,1,2,2004,Trains,62,S32_3207,"CLOVER COLLECTIONS, CO.",+353 1862 1555,25 Maiden Lane,Dublin,,2,Ireland,Cassidy,Dean,Small
10407,13,81.33,1057.29,7,1221.1699500000002,2005-04-22,On Hold,2,4,2005,Classic Cars,85,S24_3191,THE SHARP GIFTS WAREHOUSE,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue,Small
10180,21,50.36,1057.56,3,1221.4818000000002,2003-11-11,Shipped,4,11,2003,Motorcycles,62,S18_3782,DAEDALUS DESIGNS IMPORTS,20.16.1555,"184, chausse de Tournai",Lille,,59000,France,Rance,Martine,Small
10339,21,50.65,1063.6499999999999,7,1228.5157500000003,2004-11-23,Shipped,4,11,2004,Planes,109,S24_1785,"TOKYO COLLECTABLES, LTD",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko,Small
10147,25,42.67,1066.75,1,1232.0962500000003,2003-09-05,Shipped,3,9,2003,Classic Cars,37,S24_2972,COLLECTABLES FOR LESS INC.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,Nelson,Allen,Small
10412,30,36.07,1082.1,6,1249.8255,2005-05-03,Shipped,2,5,2005,Classic Cars,35,S24_2840,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10229,33,32.88,1085.0400000000002,2,1253.2212,2004-03-11,Shipped,1,3,2004,Classic Cars,35,S24_2840,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10141,20,54.33,1086.6,2,1255.0230000000001,2003-08-01,Shipped,3,8,2003,Classic Cars,57,S24_1444,SUOMINEN SOUVENIERS,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,,FIN-02271,Finland,Suominen,Kalle,Small
10361,24,45.39,1089.3600000000001,14,1258.2108,2004-12-17,Shipped,4,12,2004,Ships,90,S700_2047,SOUVENIERS AND THINGS CO.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian,Small
10419,10,100.0,1000.0,11,1261.4910000000002,2005-05-17,Shipped,2,5,2005,Classic Cars,117,S12_3380,SALZBURG COLLECTABLES,6562-9555,Geislweg 14,Salzburg,,5020,Austria,Pipps,Georg,Small
10312,31,35.29,1093.99,15,1263.55845,2004-10-21,Shipped,4,10,2004,Vintage Cars,41,S24_3969,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10141,24,45.99,1103.76,7,1274.8428000000001,2003-08-01,Shipped,3,8,2003,Trucks and Buses,54,S32_2509,SUOMINEN SOUVENIERS,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,,FIN-02271,Finland,Suominen,Kalle,Small
10412,21,52.6,1104.6000000000001,2,1275.813,2005-05-03,Shipped,2,5,2005,Classic Cars,57,S24_1444,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10312,25,44.21,1105.25,9,1276.5637500000003,2004-10-21,Shipped,4,10,2004,Vintage Cars,53,S18_1367,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10288,29,38.17,1106.93,1,1278.5041500000002,2004-09-01,Shipped,3,9,2004,Vintage Cars,33,S24_1937,HANDJI GIFTS& CO,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,Victorino,Wendy,Small
10319,29,38.22,1108.3799999999999,5,1280.1789000000003,2004-11-03,Shipped,4,11,2004,Motorcycles,40,S32_2206,MICROSCALE INC.,2125551957,5290 North Pendale Street,NYC,NY,10022,USA,Kuo,Kee,Small
10145,31,35.8,1109.8,1,1281.819,2003-08-25,Shipped,3,8,2003,Motorcycles,40,S32_2206,TOYS4GROWNUPS.COM,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Small
10173,27,41.22,1112.94,8,1285.4457000000004,2003-11-05,Shipped,4,11,2003,Vintage Cars,44,S24_2022,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10199,29,38.4,1113.6,1,1286.208,2003-12-01,Shipped,4,12,2003,Vintage Cars,43,S50_1341,WEST COAST COLLECTABLES CO.,3105553722,3675 Furth Circle,Burbank,CA,94019,USA,Thompson,Steve,Small
10206,21,53.33,1119.93,4,1293.51915,2003-12-05,Shipped,4,12,2003,Vintage Cars,50,S18_4668,CANADIAN GIFT EXCHANGE NETWORK,(604) 555-3392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi,Small
10400,20,56.12,1122.3999999999999,4,1296.3720000000003,2005-04-01,Shipped,2,4,2005,Planes,49,S72_1253,THE SHARP GIFTS WAREHOUSE,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue,Small
10301,22,51.32,1129.04,3,1304.0412000000001,2003-10-05,Shipped,4,10,2003,Classic Cars,50,S24_1628,"NORWAY GIFTS BY MAIL, CO.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,,N 0106,Norway,Klaeboe,Jan,Small
10185,21,54.0,1134.0,3,1309.7700000000002,2003-11-14,Shipped,4,11,2003,Ships,66,S700_1138,MINI CREATIONS LTD.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Tam,Wing C,Small
10401,11,100.0,1100.0,8,1311.28305,2005-04-03,On Hold,2,4,2005,Planes,91,S700_1691,TEKNI COLLECTABLES INC.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,Brown,William,Small
10182,31,36.74,1138.94,5,1315.4757000000002,2003-11-12,Shipped,4,11,2003,Vintage Cars,44,S24_2022,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10331,27,42.24,1140.48,13,1317.2544000000003,2004-11-17,Shipped,4,11,2004,Classic Cars,37,S24_2972,MOTOR MINT DISTRIBUTORS INC.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,Hernandez,Rosa,Small
10362,23,49.67,1142.41,3,1319.4835500000002,2005-01-05,Shipped,1,1,2005,Motorcycles,60,S18_2625,TECHNICS STORES INC.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri,Small
10327,25,45.86,1146.5,5,1324.2075000000002,2004-11-10,Resolved,4,11,2004,Ships,86,S18_3029,DANISH WHOLESALE IMPORTS,31 12 3555,Vinb'ltet 34,Kobenhavn,,1734,Denmark,Petersen,Jytte,Small
10175,37,31.12,1151.44,2,1329.9132000000002,2003-11-06,Shipped,4,11,2003,Classic Cars,35,S24_2840,"STYLISH DESK DECORS, CO.",(171) 555-0297,35 King George,London,,WX3 6FW,UK,Brown,Ann,Small
10312,39,29.54,1152.06,13,1330.6293,2004-10-21,Shipped,4,10,2004,Vintage Cars,33,S24_1937,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10332,31,37.18,1152.58,13,1331.2299000000003,2004-11-17,Shipped,4,11,2004,Classic Cars,107,S24_3432,"AV STORES, CO.",(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Small
10227,24,48.38,1161.1200000000001,5,1341.0936,2004-03-02,Shipped,1,3,2004,Vintage Cars,44,S24_2022,"SAVELEY & HENRIOT, CO.",78.32.5555,"2, rue du Commerce",Lyon,,69004,France,Saveley,Mary,Small
10173,35,33.23,1163.05,11,1343.3227500000003,2003-11-05,Shipped,4,11,2003,Vintage Cars,41,S24_3969,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10244,20,58.22,1164.4,6,1344.8820000000003,2004-04-29,Shipped,2,4,2004,Vintage Cars,53,S18_1367,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10333,29,40.25,1167.25,7,1348.1737500000002,2004-11-18,Shipped,4,11,2004,Trucks and Buses,116,S18_1097,MINI WHEELS CO.,6505555787,5557 North Pendale Street,San Francisco,CA,,USA,Murphy,Julie,Small
10292,39,30.06,1172.34,9,1354.0527,2004-09-08,Shipped,3,9,2004,Classic Cars,35,S24_2840,LAND OF TOYS INC.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Small
10374,22,53.3,1172.6,4,1354.353,2005-02-02,Shipped,1,2,2005,Motorcycles,60,S18_2625,"AUSTRALIAN GIFT NETWORK, CO",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Small
10108,27,43.45,1173.15,13,1354.9882500000003,2003-03-03,Shipped,1,3,2003,Motorcycles,40,S32_2206,CRUZ & SONS CO.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,,1227 MM,Philippines,Cruz,Arnold,Small
10284,21,55.96,1175.16,10,1357.3098000000002,2004-08-21,Shipped,3,8,2004,Planes,68,S24_3949,"NORWAY GIFTS BY MAIL, CO.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,,N 0106,Norway,Klaeboe,Jan,Small
10227,27,43.9,1185.3,8,1369.0215,2004-03-02,Shipped,1,3,2004,Vintage Cars,41,S24_3969,"SAVELEY & HENRIOT, CO.",78.32.5555,"2, rue du Commerce",Lyon,,69004,France,Saveley,Mary,Small
10205,32,37.17,1189.44,5,1373.8032,2003-12-03,Shipped,4,12,2003,Vintage Cars,33,S24_1937,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10103,22,54.09,1189.98,2,1374.4269000000002,2003-01-29,Shipped,1,1,2003,Trucks and Buses,60,S18_2432,BAANE MINI IMPORTS,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas,Small
10232,24,49.69,1192.56,3,1377.4068000000002,2004-03-20,Shipped,1,3,2004,Ships,54,S72_3212,GIFTSBYMAIL.CO.UK,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,Bennett,Helen,Small
10413,24,49.71,1193.04,6,1377.9612000000002,2005-05-05,Shipped,2,5,2005,Trains,62,S32_3207,GIFT DEPOT INC.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie,Small
10149,36,33.19,1194.84,7,1380.0402,2003-09-12,Shipped,3,9,2003,Vintage Cars,33,S24_1937,SIGNAL COLLECTIBLES LTD.,4155554312,2793 Furth Circle,Brisbane,CA,94217,USA,Taylor,Sue,Small
10262,21,57.11,1199.31,12,1385.20305,2004-06-24,Cancelled,2,6,2004,Planes,49,S72_1253,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10337,25,48.05,1201.25,8,1387.4437500000001,2004-11-21,Shipped,4,11,2004,Classic Cars,136,S10_4757,CLASSIC LEGENDS INC.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,Hernandez,Maria,Small
10225,24,50.21,1205.04,8,1391.8212,2004-02-22,Shipped,1,2,2004,Classic Cars,61,S24_3371,"VIDA SPORT, LTD",0897-034555,Grenzacherweg 237,Gensve,,1203,Switzerland,Holz,Michael,Small
10278,31,38.89,1205.59,8,1392.4564500000001,2004-08-06,Shipped,3,8,2004,Classic Cars,37,S24_2972,SIGNAL GIFT STORES,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,King,Sue,Small
10403,30,40.23,1206.8999999999999,2,1393.9695000000002,2005-04-08,Shipped,2,4,2005,Motorcycles,40,S32_2206,"UK COLLECTABLES, LTD.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,Devon,Elizabeth,Small
10122,39,30.96,1207.44,4,1394.5932000000003,2003-05-08,Shipped,2,5,2003,Classic Cars,37,S24_2972,MARSEILLE MINI AUTOS,91.24.4555,"12, rue des Bouchers",Marseille,,13008,France,Lebihan,Laurence,Small
10414,16,75.48,1207.68,11,1394.8704000000002,2005-05-06,On Hold,2,5,2005,Vintage Cars,87,S18_4522,GIFTS4ALLAGES.COM,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,Yoshido,Juri,Small
